0,1,2,3,4,5,6
S.No,Project Name,InstalledCapacity(MW),Type,Location,State,CommissioningDate
18,SUZLON II RATLAM,6.00,Wind,,Madhya Pradesh,
19,SUZLON III RATLAM,8.70,Wind,,Madhya Pradesh,
20,SUZLON IV RATLAM,13.50,Wind,,Madhya Pradesh,
21,SUZLON V RATLAM,12.00,Wind,,Madhya Pradesh,
22,SUZLON SANDALA I RATLAM,14.70,Wind,,Madhya Pradesh,
23,SUZLON SANDALA II RATLAM,14.70,Wind,,Madhya Pradesh,
24,PIONEER WINCON 4 MW,4.00,Wind,,Madhya Pradesh,
25,PIONEER WINCON 1.5 MW,1.50,Wind,,Madhya Pradesh,
26,SOUTHERN WINCON 6 MW,6.00,Wind,,Madhya Pradesh,
27,CLEAN WIND POWER (RATLAM) PVT LTD,100.00,Wind,,Madhya Pradesh,
28,GAMESA  RENEWABLE PVT LTD DEWAS,108.00,Wind,,Madhya Pradesh,
29,GAMESHA WIND TURBINE P.LTD.,150.00,Wind,,Madhya Pradesh,
30,"INOX WIND INFRA. SER. LTD.,SHAJAPUR",190.00,Wind,,Madhya Pradesh,
31,KSHEMA POWER & INFRA PVT LTD(AMBA),174.00,Wind,,Madhya Pradesh,
32,BETUL WIND FARM,49.50,Wind,,Madhya Pradesh,
