0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
7740,Techno Electric and Engineering Co Ltd,1.50,palladam,Wind,31-Mar-2011
7741,Techno Electric and Engineering Co Ltd,1.50,palladam,Wind,31-Mar-2011
7742,Techno Electric and Engineering Co Ltd,1.50,palladam,Wind,31-Mar-2011
7743,Mr.RAJA,0.25,palladam,Wind,31-Mar-2011
7744,NITHYABHARATH TEXTILES PVT.LTD.,0.60,palladam,Wind,31-Mar-2011
7745,PAZHAMUDHIR SPINNERS,0.60,palladam,Wind,31-Mar-2011
7746,SRI VENKADESWARA SPINNERS,0.60,palladam,Wind,31-Mar-2011
7747,N.CHANDRAN,0.85,palladam,Wind,31-Mar-2011
7748,D.CHANDRADASS1,0.25,palladam,Wind,31-Mar-2011
7749,KADESHWARI CRUSHUR UNITI,0.25,palladam,Wind,31-Mar-2011
