0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
4040,Sri Matha Spinning Mills Pvt Ltd,0.75,Udumalpet,Wind,5-Aug-2006
4041,Adi Sankara Spinning Mills Pvt Ltd,0.75,Udumalpet,Wind,8-Aug-2006
4042,ERO DYEING,0.50,palladam,Wind,9-Aug-2006
4043,"ARUMAYAAL TEXTILES (P) LTD.,",0.25,Tirunelveli,Wind,10-Aug-2006
4044,"K K S K GREEN POWER ASSOCIATES (P) LTD.,",0.23,Tirunelveli,Wind,10-Aug-2006
4045,"K.P.TEXTILES (COIMBATORE) (P) LTD.,",0.23,Tirunelveli,Wind,10-Aug-2006
4046,BHAGAVATHI SPINNERS,0.50,palladam,Wind,11-Aug-2006
4047,ARRAY LAND DEVELOPERS P LTD,0.75,Tirunelveli,Wind,12-Aug-2006
4048,K U Industries pvt ltd,0.35,Udumalpet,Wind,17-Aug-2006
4049,Super Springs Pvt Ltd,0.35,Udumalpet,Wind,17-Aug-2006
