0,1,2,3,4,5,6
66,Tata PowerRenewable EnergyLtd,25.00,Solar,Bandra East Mumbai,Maharashtra,31-May-2014
67,MSPGCL,36.00,Solar,Rahal Shah Mumbai,Maharashtra,19-Dec-2014
68,S.R . Thorat Milkproduct,3.00,Solar,Shivajinagar Pune,Maharashtra,17-Sep-2016
69,Namrata Services,2.00,Solar,Kupade Pune,Maharashtra,13-Apr-2016
70,Neon LaboratoriesLtd,1.50,Solar,Andheri East Mumbai,Maharashtra,2-Apr-2016
71,Mahabal Metals PvtLtd,2.00,Solar,Aurangabad,Maharashtra,30-Sep-2016
72,E.D Steel Pvt Ltd,1.00,Solar,Miraj,Maharashtra,30-Sep-2016
73,Metalman Auto PvtLtd,1.00,Solar,Mr Anand Darekar,Maharashtra,30-Sep-2016
74,Mayura Steel Pvt Ltd,1.00,Solar,,Maharashtra,21-Nov-2016
75,Super Craft Foundry,1.25,Solar,"Arvind Sharma ,Kholapur",Maharashtra,27-Jan-2017
76,Nav Gases &Chemicals,1.00,Solar,Ashish NavalakhaPune,Maharashtra,27-Mar-2017
