0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
2360,Coimbatore Roller Flour Mills (P) Ltd,0.23,palladam,Wind,17-Mar-2005
2361,Poysha Power Generation Pvt Ltd,0.90,Udumalpet,Wind,18-Mar-2005
2362,Poysha Power Generation Pvt Ltd,0.68,Udumalpet,Wind,18-Mar-2005
2363,Poysha Power Geration Pvt.Ltd,0.45,Udumalpet,Wind,18-Mar-2005
2364,Poysha Power Generation Pvt Ltd,0.45,Udumalpet,Wind,18-Mar-2005
2365,MAHAVISHNU POWERS PVT LTD,0.75,Udumalpet,Wind,18-Mar-2005
2366,Shanthi Gears Ltd,0.32,COIMBATORE(SOUTH),Wind,18-Mar-2005
2367,Sri Karvembu Textiles Pvt Ltd,0.45,palladam,Wind,18-Mar-2005
2368,Sri Karvembu Textiles Pvt Ltd,0.23,palladam,Wind,18-Mar-2005
2369,Sri Karvembu Textiles Pvt Ltd,0.23,palladam,Wind,18-Mar-2005
