0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,Summary of RE projects commissioned in Rajasthan,,,,,,,,,,,,,,,,,,,,,
,State,,Wind (MW),,Solar (MW),,Biopower (MW),,Small Hydro (MW),,Total (MW),,,,,,,,,,,
,,,Installed
Capacity (As
per MNRE
on
31.12.19),,Plantwise
details of
Installed
Capacity
furnished
by State (As
on
28.02.2019),,Installed
Capacity (As
per MNRE
on
31.12.19),,Plantwise details
of Installed
Capacity
furnished by State
(As on
28.02.2019),,Installed
Capacity (As
per MNRE
on
31.12.19),,Plantwise
details of
Installed
Capacity
furnished
by State (As
on
28.02.2019),,Installed
Capacity (As
per MNRE
on
31.12.19),,Plantwise
details of
Installed
Capacity
furnished
by State (As
on
28.02.2019),,Installed
Capacity (As
per MNRE
on
31.12.19),,Plantwise details
of Installed
Capacity
furnished by State
(As on
28.02.2019),
,Rajasthan,,4299.72,,4292.94,,4844.21,,4952.55,,121.30,,114.3,,23.85,,23.85,,9289.08,,9383.64,
