0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
8090,Shalivahana Wind Energy Ltd,0.85,palladam,Wind,19-Aug-2011
8091,Shalivahana Wind Energy Ltd,1.50,palladam,Wind,19-Aug-2011
8092,Shalivahana Wind Energy Ltd,0.85,palladam,Wind,19-Aug-2011
8093,Shalivahana Wind Energy Ltd,0.85,palladam,Wind,19-Aug-2011
8094,Sudharsan Exports,0.85,palladam,Wind,19-Aug-2011
8095,Sarvesh Multi Plast India (P) Ltd,0.85,palladam,Wind,19-Aug-2011
8096,Loyal Textile Mills Pvt. Ltd.,0.85,palladam,Wind,19-Aug-2011
8097,The Tata Power Company Ltd,1.50,Udumalpet,Wind,20-Aug-2011
8098,NSL Wind Power Company (Phoolwadi) P Ltd,1.50,Udumalpet,Wind,23-Aug-2011
8099,NSL Wind Power Company (Phoolwadi) P Ltd,1.50,Udumalpet,Wind,23-Aug-2011
