Date	NR	WR	SR	ER	NER	Total
01-Aug-17	2.6	8	29.8	1.1	0	41
02-Aug-17	2.6	8.9	26.8	1.1	0	39
03-Aug-17	3.1	9.5	27.9	0.3	0	41
04-Aug-17	2.5	11.2	22.4	0.9	0	37
05-Aug-17	2.8	10.9	24.3	0.7	0	39
06-Aug-17	3.3	9.6	26.7	0.8	0	40
07-Aug-17	0.5	8.2	24.9	0.9	0	35
08-Aug-17	2.4	7.7	25.7	1	0	37
09-Aug-17	2.6	8.3	17.4	1.1	0	29
10-Aug-17	3	10.1	26.3	0.7	0	40
11-Aug-17	3	9.8	24.3	0.4	0	37
12-Aug-17	2.5	9	25.9	0.5	0	38
13-Aug-17	2.5	9.9	20	0.1	0	32
14-Aug-17	0.8	10	23.3	1	0	35
15-Aug-17	3.2	11.9	26.3	0.8	0	42
16-Aug-17	3.7	13.5	26.1	1.1	0	44
17-Aug-17	3.5	13.1	21.4	1.1	0	39
18-Aug-17	3.6	11.5	17.9	1.1	0	34
19-Aug-17	2.9	8.6	17	1.1	0	30
20-Aug-17	3.4	9.1	18.3	1.2	0	32
21-Aug-17	2.8	11.2	26.9	1.1	0	42
22-Aug-17	2.3	10.2	28.4	1	0	42
23-Aug-17	2.8	11.3	31.1	1.1	0	46
24-Aug-17	3.4	10.7	23.3	1.5	0	39
25-Aug-17	3.3	10.7	17.5	1.2	0	33
26-Aug-17	2.7	11.9	22.3	1.1	0	38
27-Aug-17	3.5	10.8	21.4	1	0	37
28-Aug-17	0.6	9.1	18.4	1.8	0	30
29-Aug-17	2.9	8.2	22.3	1	0	34
30-Aug-17	2.6	9.1	30.9	1.1	0	44
31-Aug-17	3.1	10.1	32	0.7	0	46
01-Sep-17	1.6	11.2	31.2	0.6	0	45
02-Sep-17	1.7	10.3	31.5	1.1	0	45
03-Sep-17	2.7	9.1	30.9	1.3	0	44
04-Sep-17	3	11.6	29.1	1.3	0	45
05-Sep-17	3.5	12.4	24.8	1.3	0	42
06-Sep-17	3.9	12.7	21.4	1.3	0	39
07-Sep-17	3.3	13.4	27.9	1.3	0	46
08-Sep-17	4	13	29.8	1.1	0	48
09-Sep-17	3.9	12.7	27.6	1.4	0	46
10-Sep-17	2	12.8	30.8	1.2	0	47
11-Sep-17	2.2	12.6	30.2	1.2	0	46
12-Sep-17	3.4	12.1	33.4	1.2	0	50
13-Sep-17	0.8	13.5	28.8	1	0	44
14-Sep-17	3.7	11.9	28.7	1.1	0	45
