lon,lat,capacity_MW,installed,district,state,type
77.59669494628906,14.681184768676758,2.03,1994-09-30 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,2.0,1994-11-01 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,0.9,1995-02-26 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,1.0,1995-05-25 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,2.0,1995-08-30 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,3.0,1995-09-13 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,3.0,1995-09-26 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,0.68,1995-09-30 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,3.0,1995-09-30 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,5.0,1995-09-30 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,6.5,1995-12-28 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,1.5,1996-03-22 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,0.45,1996-03-23 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,2.0,1996-03-31 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,1.0,1996-05-27 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,2.0,1996-07-26 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,1.8,1996-08-03 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,5.0,1996-09-01 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,3.0,1996-09-30 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,1.5,1996-09-30 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,1.0,1996-10-01 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,0.5,1997-03-09 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,1.89,1997-03-31 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,1.0,1997-09-30 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,2.0,1998-06-08 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,3.0,1998-08-01 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,3.0,1999-03-01 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,0.75,1999-03-31 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,0.25,1999-03-31 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,1.0,1999-07-16 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,1.0,1999-08-01 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,4.0,1999-09-23 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,3.0,2000-03-18 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,13.0,2000-03-31 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,4.25,2000-03-31 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,1.0,2000-08-30 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,0.5,2000-09-30 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,2.75,2001-03-31 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,0.75,2002-03-30 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
79.10330200195312,13.219499588012695,0.23,2003-09-27 00:00:00,Chittor,Andhra Pradesh,Wind
79.10330200195312,13.219499588012695,6.0,2004-02-19 00:00:00,Chittor,Andhra Pradesh,Wind
79.10330200195312,13.219499588012695,0.8,2004-02-19 00:00:00,Chittor,Andhra Pradesh,Wind
79.96227264404297,14.413352012634276,2.5,2004-07-05 00:00:00,Nellore,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,0.23,2005-03-29 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,0.23,2006-03-29 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,3.75,2006-03-31 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,0.75,2006-03-31 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,0.45,2007-03-31 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,0.45,2008-03-31 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
78.03617858886719,15.83120346069336,4.8,2010-02-08 00:00:00,Kurnool,Andhra Pradesh,Wind
78.03617858886719,15.83120346069336,1.6,2010-03-08 00:00:00,Kurnool,Andhra Pradesh,Wind
78.03617858886719,15.83120346069336,12.8,2010-03-31 00:00:00,Kurnool,Andhra Pradesh,Wind
78.03617858886719,15.83120346069336,0.8,2010-03-31 00:00:00,Kurnool,Andhra Pradesh,Wind
78.03617858886719,15.83120346069336,2.4,2010-06-30 00:00:00,Kurnool,Andhra Pradesh,Wind
78.03617858886719,15.83120346069336,13.6,2010-09-01 00:00:00,Kurnool,Andhra Pradesh,Wind
78.03617858886719,15.83120346069336,18.4,2010-12-01 00:00:00,Kurnool,Andhra Pradesh,Wind
78.03617858886719,15.83120346069336,4.0,2011-01-22 00:00:00,Kurnool,Andhra Pradesh,Wind
78.03617858886719,15.83120346069336,0.8,2011-02-28 00:00:00,Kurnool,Andhra Pradesh,Wind
78.03617858886719,15.83120346069336,8.8,2011-03-31 00:00:00,Kurnool,Andhra Pradesh,Wind
78.03617858886719,15.83120346069336,1.0,2011-03-31 00:00:00,Kurnool,Andhra Pradesh,Wind
78.03617858886719,15.83120346069336,1.6,2011-05-31 00:00:00,Kurnool,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,5.1,2011-06-30 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
78.03617858886719,15.83120346069336,1.0,2011-07-16 00:00:00,Kurnool,Andhra Pradesh,Wind
78.03617858886719,15.83120346069336,12.8,2011-09-30 00:00:00,Kurnool,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,5.95,2012-03-29 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,16.8,2012-03-31 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
77.59669494628906,14.681184768676758,8.4,2012-03-31 00:00:00,Ananthapuramu,Andhra Pradesh,Wind
78.03617858886719,15.83120346069336,1.6,2012-03-31 00:00:00,Kurnool,Andhra Pradesh,Wind
