,lon,lat,capacity_MW,state,type
165,80.22779,13.11801,28.0,Tamil Nadu,Wind
166,80.16084,13.04439,12.0,Tamil Nadu,Wind
167,79.36282348632812,22.351898193359375,30.0,Madhya Pradesh,Wind
168,73.09082,19.2149,161.0,Maharashtra,Wind
169,79.36282348632812,22.351898193359375,16.0,Madhya Pradesh,Wind
170,75.29887,19.75696,21.0,Maharashtra,Wind
171,77.06256103515625,28.686996459960938,13.0,NCT of Delhi,Wind
172,78.5166,17.51223,14.0,Telangana,Wind
173,77.43864,23.18836,13.0,Madhya Pradesh,Wind
174,77.43864,23.18836,15.0,Madhya Pradesh,Wind
175,80.59995,16.52423,12.0,Andhra Pradesh,Wind
176,77.71482,12.90231,13.0,Karnataka,Wind
177,79.36282348632812,22.351898193359375,10.0,Madhya Pradesh,Wind
178,77.43864,23.18836,13.0,Madhya Pradesh,Wind
179,77.25114,15.62989,15.0,Andhra Pradesh,Wind
180,73.82548,15.90014,44.0,Maharashtra,Wind
181,79.36282348632812,22.351898193359375,42.0,Madhya Pradesh,Wind
182,72.83056,18.94808,14.0,Maharashtra,Wind
183,74.37674,26.08844,19.0,Rajasthan,Wind
184,77.43864,23.18836,13.0,Madhya Pradesh,Wind
185,75.29887,19.75696,19.0,Maharashtra,Wind
186,84.80573272705078,24.03512191772461,13.0,Jharkhand,Wind
187,77.600,14.680,7.5,Andhra Pradesh,Wind
188,77.600,14.680,277.2,Andhra Pradesh,Wind
189,77.600,14.680,50.0,Andhra Pradesh,Wind
190,77.600,14.680,105.0,Andhra Pradesh,Wind
191,77.600,14.680,120.0,Andhra Pradesh,Wind
192,77.600,14.680,100.0,Andhra Pradesh,Wind
193,77.600,14.680,197.4,Andhra Pradesh,Wind
194,78.536,14.499,90.0,Andhra Pradesh,Wind
195,77.388,15.476,51.0,Andhra Pradesh,Wind
196,77.388,15.476,119.6,Andhra Pradesh,Wind
197,77.388,15.476,79.9,Andhra Pradesh,Wind
198,79.48087310791016,15.267627716064453,51.0,Andhra Pradesh,Wind
199,79.36282348632812,22.351898193359375,51.2,Madhya Pradesh,Wind
200,72.87089,19.08096,50.0,Maharashtra,Wind
201,77.135,14.715,100.8,Andhra Pradesh,Wind
202,-1.5088200569152832,55.127079010009766,32.0,,Wind
203,77.164,14.585,105.0,Andhra Pradesh,Wind
204,77.11384582519531,17.698930740356445,50.4,Karnataka,Wind
205,79.36282348632812,22.351898193359375,37.4,Madhya Pradesh,Wind
206,77.946,14.656,50.4,Andhra Pradesh,Wind
207,77.946,14.656,50.4,Andhra Pradesh,Wind
208,77.946,14.656,31.5,Andhra Pradesh,Wind
209,78.283,14.815,50.4,Andhra Pradesh,Wind
210,78.283,14.815,21.0,Andhra Pradesh,Wind
211,78.287109375,14.814096450805664,50.4,Andhra Pradesh,Wind
212,77.921,14.812,1.0,Andhra Pradesh,Wind
213,77.921,14.812,0.5,Andhra Pradesh,Wind
214,77.921,14.812,0.75,Andhra Pradesh,Wind
215,77.921,14.812,4.5,Andhra Pradesh,Wind
216,77.921,14.812,5.1,Andhra Pradesh,Wind
217,77.921,14.812,43.2,Andhra Pradesh,Wind
218,77.921,14.812,3.6,Andhra Pradesh,Wind
219,77.921,14.812,3.6,Andhra Pradesh,Wind
220,77.921,14.812,4.0,Andhra Pradesh,Wind
221,77.921,14.812,16.0,Andhra Pradesh,Wind
222,79.36282348632812,22.351898193359375,4.5,Madhya Pradesh,Wind
223,77.111,14.550,120.0,Andhra Pradesh,Wind
224,77.111,14.550,24.0,Andhra Pradesh,Wind
225,78.030,15.825,54.4,Andhra Pradesh,Wind
226,78.030,15.825,27.2,Andhra Pradesh,Wind
227,77.329,15.357,20.4,Andhra Pradesh,Wind
228,77.329,15.357,18.7,Andhra Pradesh,Wind
229,77.329,15.357,40.0,Andhra Pradesh,Wind
230,77.585,14.680,100.0,Andhra Pradesh,Wind
231,77.529,14.196,50.4,Andhra Pradesh,Wind
232,77.204,14.887,64.0,Andhra Pradesh,Wind
233,77.204,14.887,36.0,Andhra Pradesh,Wind
234,77.204,14.887,100.0,Andhra Pradesh,Wind
235,77.204,14.887,100.0,Andhra Pradesh,Wind
236,81.633,16.674,25.5,Andhra Pradesh,Wind
237,78.600,15.880,20.0,Andhra Pradesh,Wind
238,77.967,14.813,13.5,Andhra Pradesh,Wind
239,77.10145,13.84118,98.7,Andhra Pradesh,Wind
240,77.10145,13.84118,98.7,Andhra Pradesh,Wind
241,77.598,14.677,51.2,Andhra Pradesh,Wind
242,77.598,14.677,50.0,Andhra Pradesh,Wind
243,77.598,14.677,50.0,Andhra Pradesh,Wind
244,77.598,14.677,50.0,Andhra Pradesh,Wind
245,77.598,14.677,28.0,Andhra Pradesh,Wind
246,77.598,14.677,46.0,Andhra Pradesh,Wind
247,77.598,14.677,46.0,Andhra Pradesh,Wind
248,77.598,14.677,54.0,Andhra Pradesh,Wind
249,77.598,14.677,100.0,Andhra Pradesh,Wind
250,79.36282348632812,22.351898193359375,46.0,Madhya Pradesh,Wind
251,78.820,14.469,54.0,Andhra Pradesh,Wind
252,77.591,14.671,63.0,Andhra Pradesh,Wind
253,77.591,14.671,27.3,Andhra Pradesh,Wind
254,77.591,14.671,105.0,Andhra Pradesh,Wind
255,77.384,14.378,31.5,Andhra Pradesh,Wind
256,77.166,15.026,50.4,Andhra Pradesh,Wind
257,88.120,21.707,0.2,West Bengal,Wind
258,68.85883331298828,23.247182846069336,150.0,Gujarat,Wind
259,78.47707,17.23874,12.0,Telangana,Wind
260,68.86959075927734,23.069387435913086,6.0,Gujarat,Wind
261,68.86959075927734,23.069387435913086,1.5,Gujarat,Wind
262,68.86959075927734,23.069387435913086,3.0,Gujarat,Wind
263,69.782,21.929,52.5,Gujarat,Wind
264,72.143,21.770,5.0,Gujarat,Wind
265,69.242,21.992,8.75,Gujarat,Wind
266,69.663,23.252,51.0,Gujarat,Wind
267,70.631,23.229,150.0,Gujarat,Wind
268,70.6605453491211,23.310468673706055,28.125,Gujarat,Wind
269,70.6605453491211,23.310468673706055,7.2,Gujarat,Wind
270,70.6605453491211,23.310468673706055,4.5,Gujarat,Wind
271,70.6605453491211,23.310468673706055,15.0,Gujarat,Wind
272,70.6605453491211,23.310468673706055,0.85,Gujarat,Wind
273,70.6605453491211,23.310468673706055,4.8,Gujarat,Wind
274,70.6605453491211,23.310468673706055,1.25,Gujarat,Wind
275,70.6605453491211,23.310468673706055,0.9,Gujarat,Wind
276,68.897,23.634,250.0,Gujarat,Wind
277,77.43864,23.18836,10.5,Madhya Pradesh,Wind
278,69.400,21.600,0.225,,Wind
279,69.667,23.242,52.5,Gujarat,Wind
280,70.417,22.359,20.0,Gujarat,Wind
281,70.417,22.359,20.8,Gujarat,Wind
282,70.417,22.359,9.6,Gujarat,Wind
283,70.564,23.221,9.9,Gujarat,Wind
284,70.564,23.221,60.0,Gujarat,Wind
285,70.564,23.221,22.0,Gujarat,Wind
286,70.564,23.221,25.2,Gujarat,Wind
287,70.564,23.221,21.6,Gujarat,Wind
288,70.564,23.221,14.85,Gujarat,Wind
289,71.279,22.078,25.2,Gujarat,Wind
